# Sinusoidal end-effector reference trajectory
# amplitude_m    : 0.0200
# amplitude_cm   : 2.0
# n_waves        : 4
# ws_centre_m    : (0.42562, -0.24573)
# n_points       : 600
# arc_length_m   : 1.70465
# arc_length_cm  : 170.465
t,x_m,y_m,arc_length_m
0.7462437,0.5913774,0.0974073,1.2716299
0.7479132,0.5912816,0.1009438,1.2751677
0.7495826,0.5911672,0.1044830,1.2787086
0.7512521,0.5910336,0.1080232,1.2822514
0.7529215,0.5908801,0.1115632,1.2857947
0.7545910,0.5907061,0.1151013,1.2893370
0.7562604,0.5905110,0.1186360,1.2928771
0.7579299,0.5902944,0.1221658,1.2964136
0.7595993,0.5900556,0.1256892,1.2999451
0.7612688,0.5897943,0.1292047,1.3034703
0.7629382,0.5895099,0.1327107,1.3069878
0.7646077,0.5892019,0.1362058,1.3104965
0.7662771,0.5888701,0.1396885,1.3139950
0.7679466,0.5885139,0.1431574,1.3174820
0.7696160,0.5881331,0.1466108,1.3209564
0.7712855,0.5877273,0.1500475,1.3244170
0.7729549,0.5872962,0.1534660,1.3278626
0.7746244,0.5868396,0.1568650,1.3312921
0.7762938,0.5863571,0.1602430,1.3347044
0.7779633,0.5858487,0.1635988,1.3380985
0.7796327,0.5853141,0.1669311,1.3414734
0.7813022,0.5847532,0.1702386,1.3448281
0.7829716,0.5841658,0.1735200,1.3481617
0.7846411,0.5835519,0.1767743,1.3514734
0.7863105,0.5829114,0.1800003,1.3547623
0.7879800,0.5822443,0.1831969,1.3580278
0.7896494,0.5815506,0.1863630,1.3612690
0.7913189,0.5808302,0.1894977,1.3644854
0.7929883,0.5800834,0.1926000,1.3676764
0.7946578,0.5793101,0.1956690,1.3708413
0.7963272,0.5785104,0.1987039,1.3739797
0.7979967,0.5776845,0.2017039,1.3770913
0.7996661,0.5768325,0.2046682,1.3801756
0.8013356,0.5759547,0.2075961,1.3832323
0.8030050,0.5750512,0.2104871,1.3862612
0.8046745,0.5741223,0.2133406,1.3892621
0.8063439,0.5731682,0.2161561,1.3922348
0.8080134,0.5721892,0.2189331,1.3951794
0.8096828,0.5711855,0.2216713,1.3980957
0.8113523,0.5701576,0.2243702,1.4009838
0.8130217,0.5691057,0.2270298,1.4038438
0.8146912,0.5680301,0.2296498,1.4066760
0.8163606,0.5669313,0.2322299,1.4094804
0.8180301,0.5658096,0.2347703,1.4122573
0.8196995,0.5646654,0.2372708,1.4150072
0.8213689,0.5634992,0.2397315,1.4177303
0.8230384,0.5623112,0.2421525,1.4204270
0.8247078,0.5611020,0.2445340,1.4230979
0.8263773,0.5598721,0.2468762,1.4257434
0.8280467,0.5586218,0.2491794,1.4283641
0.8297162,0.5573516,0.2514439,1.4309606
0.8313856,0.5560619,0.2536702,1.4335334
0.8330551,0.5547533,0.2558587,1.4360833
0.8347245,0.5534261,0.2580100,1.4386110
0.8363940,0.5520810,0.2601246,1.4411172
0.8380634,0.5507183,0.2622031,1.4436026
0.8397329,0.5493384,0.2642462,1.4460680
0.8414023,0.5479420,0.2662547,1.4485143
0.8430718,0.5465294,0.2682293,1.4509421
0.8447412,0.5451012,0.2701709,1.4533524
0.8464107,0.5436577,0.2720803,1.4557461
0.8480801,0.5421995,0.2739585,1.4581239
0.8497496,0.5407269,0.2758064,1.4604867
0.8514190,0.5392405,0.2776249,1.4628354
0.8530885,0.5377407,0.2794152,1.4651710
0.8547579,0.5362279,0.2811784,1.4674942
0.8564274,0.5347025,0.2829154,1.4698059
0.8580968,0.5331649,0.2846275,1.4721072
0.8597663,0.5316155,0.2863159,1.4743987
0.8614357,0.5300547,0.2879817,1.4766814
0.8631052,0.5284829,0.2896261,1.4789562
0.8647746,0.5269004,0.2912504,1.4812240
0.8664441,0.5253076,0.2928559,1.4834855
0.8681135,0.5237048,0.2944439,1.4857418
0.8697830,0.5220922,0.2960156,1.4879936
0.8714524,0.5204702,0.2975724,1.4902418
0.8731219,0.5188391,0.2991155,1.4924872
0.8747913,0.5171992,0.3006464,1.4947306
0.8764608,0.5155505,0.3021664,1.4969730
0.8781302,0.5138935,0.3036767,1.4992151
0.8797997,0.5122282,0.3051789,1.5014578
0.8814691,0.5105549,0.3066741,1.5037018
0.8831386,0.5088737,0.3081638,1.5059480
0.8848080,0.5071848,0.3096492,1.5081973
0.8864775,0.5054883,0.3111318,1.5104503
0.8881469,0.5037842,0.3126128,1.5127080
